INFO:root:the number is john
INFO:root:the number is bob
INFO:root:the number is gracey
INFO:root:the number is john and bill too
INFO:root:the number is bob and bill too
INFO:root:the number is gracey and bill too
INFO:root:Connected by 127.0.0.1:32000
INFO:root:Connected by sjiaimaisjaiimmy
INFO:root:Connected by sjiaimaisjaiimmy and also siowaejf
DEBUG:salt.utils.decorators.jinja:Marking 'date_format' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'base64_encode' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'base64_decode' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'md5' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha1' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha256' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sha512' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'hmac' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'hmac_compute' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'random_hash' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'rand_str' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'file_hashsum' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'http_query' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'raise' as a jinja global
DEBUG:salt.utils.decorators.jinja:Marking 'match' as a jinja test
DEBUG:salt.utils.decorators.jinja:Marking 'equalto' as a jinja test
DEBUG:salt.utils.decorators.jinja:Marking 'skip' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'sequence' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'to_bool' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'indent' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'tojson' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'quote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_escape' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_search' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_match' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'regex_replace' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'uuid' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'unique' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'min' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'max' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'avg' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'union' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'intersect' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'difference' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'symmetric_difference' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'method_call' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_dquote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_squote' as a jinja filter
DEBUG:salt.utils.decorators.jinja:Marking 'yaml_encode' as a jinja filter
